title,class1,class2,class3,itemkey,subkey,body,author,receiver,year,create_date,type,quantity,state,place,remarks,image,pdf
臨床的な問題,服薬中,,,1,,服薬内容がいわゆる栄養剤、ビタミン剤等市販の保健薬であり、骨髄採取時に服薬中止（1 ヵ月前の中止が望ましいが、使用したい場合には、1 週間前までに中止）が可能なものは可　■対象薬物　①ビタミン剤 ただし、ビタミン薬による貧血治療中は除く　②ミネラル剤 鉄剤による貧血治療中は除く　③漢方薬 服薬目的(肝疾患、感冒、喘息治療など)に注意　④胃腸薬 感冒性下痢症状がある場合は除く　⑤局所投与の薬物（点鼻、点眼、外用）,test detail data1,,,,A,,A,,,,
臨床的な問題,服薬中,,,2,,海外から、個人輸入した薬剤・サプリメントを服薬している場合は不可,,,,,C,,C,,,,
臨床的な問題,服薬中,,,3,,以下、育毛医薬品（錠剤）を服用されている場合、服薬終了後一定期間は不可　・AVODART（アボダート）終了後6ヵ月間　・PROPECIA（プロペシア）終了後1ヵ月間　・PROSCAR（プロスカー）終了後1ヵ月間,,,,,C,,C,,,,
臨床的な問題,服薬中,,,4,,男性ホルモン投与歴は不可,,,,,D,,D,,,,
臨床的な問題,服薬中,,,5,,骨髄採取時、医師が必要と判断した麻酔薬（麻酔前投薬）を含む各種薬剤（鉄剤等）の使用は可,,,,,A,,A,,,,
臨床的な問題,服薬中、疾患検査中、疾患治療中,,,6,,治療、服薬を必要とする状態が一過性のもので、かつ今後の治療の見通しが明らかに短期間のうちに治癒すると思われるものは可 （医師の判断による治療終了を確認しコーディネートを進行させること） （※本人の判断での服薬中止は不可）,,,,,A,,A,,,,
臨床的な問題,服薬中、疾患検査中、疾患治療中,,,7,,治療の見通しが明らかな場合は、その期間を確認したうえで対応を協議する,,,,,B,,B,,,,
臨床的な問題,服薬中、疾患検査中、疾患治療中,,,8,,疾患検査中もしくは健康診断等で要検査等（精査・検査・経過観察中含む）の指示がある場合は、要検討,,,,,B,,B,,,,
臨床的な問題,服薬中、疾患検査中、疾患治療中,,,9,,治療を要する疾患がある場合は不可 （※角膜移植待機中など現在治療を要しない場合であっても、待機中もしくは治療予定の場合も含む）,,,,,C,,C,,,,
臨床的な問題,服薬中、疾患検査中、疾患治療中,,,10,,病名が判明し、治癒が証明できないものは不可,,,,,C,,C,,,,
臨床的な問題,服薬中、疾患検査中、疾患治療中,,,11,,リハビリ中は治療中とみなし不可,,,,,C,,C,,,,
臨床的な問題,服薬中、疾患検査中、疾患治療中,,,12,,身体に何らかの障害がある場合(未治療含む)は、提供後にもともとの障害が悪化することや二次障害等が進展する可能性も視野に入れ慎重な対応を行う。その場合、必要に応じて専門医からの診断書を提出の上、採取担当医師および地区代表協力医師により慎重に協議し、適格性を判定する。 　なお、ドナーの方と十分なコミュニケーションが取れない場合においては、更に慎重な対応が必要である。,,,,,D,,D,,,,
臨床的な問題,血管確保,,,13,,BMHは、上肢で自己血採血ができる程度の血管が確保できること。,,,,,B,,-,,,,
臨床的な問題,血管確保,,,14,,PBSCHは、両上肢(正中静脈等)で体外循環が可能なある程度太い血管が確保できない場合は不可,,,,,-,,D,,,,
臨床的な問題,血管迷走神経反射,,,15,,過去に VVR を起こした場合、血管迷走神経反射(VVR)判定基準において、 I度：血圧低下 顔面蒼白、冷汗 徐脈(＞40／分)、悪心などの症状を伴うもの,,,,,B,,B,,,,
臨床的な問題,血管迷走神経反射,,,16,,II度：I度に加えて意識喪失 嘔吐、徐脈(≦40／分) 血圧低下(＜90Pa),,,,,C,,C,,,,
臨床的な問題,血管迷走神経反射,,,17,,Ⅲ度 ： Ⅱに加えて痙攣、失禁,,,,,C,,C,,,,
呼吸器疾患,呼吸機能,,,18,,呼吸機能調査　以下、不可 ％VC＜70％、FEV1.0％＜70％,,,,,C,,C,,,,
呼吸器疾患,呼吸機能,,,19,,以下、不可(既往歴含む)　・悪性腫瘍　・カルチノイド　・サルコイドーシス,,,,,D,,D,,,,
呼吸器疾患,気管支喘息（咳喘息含む）,,,20,,過去１年以内に発作、自覚症状があるなどコントロール不良な状態、又は薬物治療終了後１年以内のものは不可 ※喘息発作の定義 ： 医療機関での診断名有り,,,,,C,,C,,,,
呼吸器疾患,気管支喘息（咳喘息含む）,,,21,,1 年以内に発作がなくても、それ以前の症状によって要検討（呼吸機能検査等を確認した上で採取施設判断とする）,,,,,B,,B,,,,
呼吸器疾患,気管支喘息（咳喘息含む）,,,22,,ステロイド剤の内服はコントロール不良の喘息として不可,,,,,C,,C,,,,
呼吸器疾患,気管支喘息（咳喘息含む）,,,23,,予防的に用いられる吸入薬（吸入ステロイド、インタール等）や抗アレルギー薬の服薬だけで発作や症状がなくても不可,,,,,C,,C,,,,
